timestamp,domain,parameter,value_from,value_to,delta_J,cumulative_delta_J
2026-03-25 09:38:36,thermal,cluster.fan_speed_normalised,0.5000,0.8800,-0.0038,-0.0038
2026-03-25 09:38:37,network,cluster.qos_normalised,0.5000,0.2400,-0.0012,-0.0050
2026-03-25 09:39:41,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0100
2026-03-25 09:39:42,network,cluster.qos_normalised,0.5000,0.7200,-0.0036,-0.0136
2026-03-25 09:40:44,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0186
2026-03-25 09:40:44,network,cluster.qos_normalised,0.5000,0.9500,-0.0047,-0.0233
2026-03-25 09:41:46,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0283
2026-03-25 09:41:47,network,cluster.qos_normalised,0.5000,0.3800,-0.0019,-0.0302
2026-03-25 09:42:49,thermal,cluster.fan_speed_normalised,0.5000,0.9700,-0.0047,-0.0349
2026-03-25 09:42:49,network,cluster.qos_normalised,0.5000,0.2500,-0.0012,-0.0361
2026-03-25 09:43:50,thermal,cluster.fan_speed_normalised,0.5000,0.9600,-0.0046,-0.0407
2026-03-25 09:43:51,network,cluster.qos_normalised,0.5000,0.7000,-0.0035,-0.0442
2026-03-25 09:44:53,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0492
2026-03-25 09:44:54,network,cluster.qos_normalised,0.5000,0.9300,-0.0046,-0.0538
2026-03-25 09:45:58,thermal,cluster.fan_speed_normalised,0.5000,0.9700,-0.0047,-0.0585
2026-03-25 09:45:58,network,cluster.qos_normalised,0.5000,0.8300,-0.0041,-0.0626
2026-03-25 09:47:00,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0676
2026-03-25 09:47:00,network,cluster.qos_normalised,0.5000,0.2300,-0.0012,-0.0688
2026-03-25 09:48:02,thermal,cluster.fan_speed_normalised,0.5000,0.9300,-0.0043,-0.0731
2026-03-25 09:48:03,network,cluster.qos_normalised,0.5000,0.2600,-0.0013,-0.0744
2026-03-25 09:49:05,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0794
2026-03-25 09:49:05,network,cluster.qos_normalised,0.5000,0.7000,-0.0035,-0.0829
2026-03-25 09:50:07,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.0879
2026-03-25 09:50:07,network,cluster.qos_normalised,0.5000,0.2700,-0.0014,-0.0893
2026-03-25 09:51:09,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.0942
2026-03-25 09:51:10,network,cluster.qos_normalised,0.5000,0.4800,-0.0024,-0.0966
2026-03-25 09:52:14,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.1016
2026-03-25 09:52:14,network,cluster.qos_normalised,0.5000,0.1100,-0.0005,-0.1021
